================================================
  NLOC    CCN   token  PARAM  length  location  
------------------------------------------------
       4      2     25      1       4 _rec_names_search@63-66@sale_order.py
       2      1     21      1       2 init@321-322@sale_order.py
       8      4     50      1       8 _compute_display_name@328-335@sale_order.py
       5      3     29      1       5 _compute_has_archived_products@338-342@sale_order.py
       3      2     19      1       3 _compute_require_signature@345-347@sale_order.py
       3      2     19      1       3 _compute_require_payment@350-352@sale_order.py
       3      2     19      1       3 _compute_prepayment_percent@355-357@sale_order.py
       8      3     49      1       8 _compute_validity_date@360-367@sale_order.py
       2      1     10      1       2 _compute_journal_id@369-370@sale_order.py
      15      8    145      1      15 _compute_note@373-387@sale_order.py
       2      1     15      1       2 _get_note_url@390-391@sale_order.py
       3      3     33      1       3 _compute_partner_invoice_id@394-396@sale_order.py
       3      3     33      1       3 _compute_partner_shipping_id@399-401@sale_order.py
      15      6    117      1      18 _compute_fiscal_position_id@404-421@sale_order.py
       4      2     29      1       4 _compute_payment_term_id@424-427@sale_order.py
       9      4     49      1       9 _compute_pricelist_id@430-438@sale_order.py
       3      3     25      1       3 _compute_currency_id@441-443@sale_order.py
       8      3     64      1       8 _compute_currency_rate@446-453@sale_order.py
       6      2     57      1       6 _compute_has_active_pricelist@456-461@sale_order.py
       8      8     66      1      11 _compute_user_id@464-474@sale_order.py
      15      4    112      1      15 _compute_team_id@477-491@sale_order.py
      16      4    127      1      16 _compute_amounts@494-509@sale_order.py
      30      6    176      1      36 _add_base_lines_for_early_payment_discount@511-546@sale_order.py
       5      2     48      1       9 _get_invoiced@549-557@sale_order.py
      24      6    122      3      35 _search_invoice_ids@559-593@sale_order.py
      36     18    273      1      46 _compute_invoice_status@596-641@sale_order.py
       3      2     29      1       3 _compute_authorized_transaction_ids@644-646@sale_order.py
       5      4     37      1       6 _compute_amount_paid@649-654@sale_order.py
       6      4     60      1       6 _compute_amount_undiscounted@656-661@sale_order.py
       4      2     39      1       4 _compute_duplicated_order_ids@664-667@sale_order.py
      38      4     95      1      45 _fetch_duplicate_orders@669-713@sale_order.py
      13      6     87      1      16 _compute_expected_date@716-731@sale_order.py
       3      1     17      2       3 _select_expected_date@733-735@sale_order.py
       8      4     44      1       8 _compute_is_expired@737-744@sale_order.py
       6      3     37      1       6 _compute_tax_country_id@747-752@sale_order.py
       3      2     25      1       3 _compute_amount_to_invoice@755-757@sale_order.py
       3      2     25      1       3 _compute_amount_invoiced@760-762@sale_order.py
      11      4     76      1      11 _compute_partner_credit_warning@765-775@sale_order.py
      13      4    105      1      13 _compute_tax_totals@779-791@sale_order.py
       6      3     41      1       6 _compute_type_name@794-799@sale_order.py
       4      2     23      1       4 _compute_access_url@802-805@sale_order.py
      15      4    111      1      15 _check_order_line_company_id@810-824@sale_order.py
       4      4     36      1       4 _check_prepayment_percent@827-830@sale_order.py
       5      2     44      4       5 onchange@834-838@sale_order.py
       9      4     44      1      10 _onchange_commitment_date@841-850@sale_order.py
      13      4     57      1      13 _onchange_company_id_warning@853-865@sale_order.py
       4      3     24      1       6 _onchange_company_id@868-873@sale_order.py
       6      5     38      1       6 _onchange_fpos_id_show_update_fpos@876-881@sale_order.py
      17     10    104      1      24 _onchange_partner_id_warning@884-907@sale_order.py
       2      1     15      1       2 _onchange_pricelist_id_show_update_prices@910-911@sale_order.py
       3      2     16      1       3 _onchange_prepayment_percent@914-916@sale_order.py
      35     13    263      1      45 _onchange_order_line@919-963@sale_order.py
       9      5    102      2      10 create@968-977@sale_order.py
       2      1     21      1       3 _get_copiable_order_lines@979-981@sale_order.py
      12      5     87      2      12 copy_data@983-994@sale_order.py
       6      3     31      1       6 _unlink_except_draft_or_cancel@997-1002@sale_order.py
       9      5     83      2       9 write@1004-1012@sale_order.py
       9      1     36      1       9 action_open_discount_wizard@1016-1024@sale_order.py
       8      1     48      1       8 action_draft@1026-1033@sale_order.py
      52     11    312      1      57 action_quotation_send@1035-1091@sale_order.py
       6      3     50      1      14 _find_mail_template@1093-1106@sale_order.py
      11      3     71      1      15 _get_confirmation_template@1108-1122@sale_order.py
       6      4     55      1      12 action_quotation_sent@1124-1135@sale_order.py
      20      8    144      1      38 action_confirm@1137-1174@sale_order.py
       4      2     32      1       5 _should_be_locked@1176-1180@sale_order.py
      12      6     60      1      14 _confirmation_error_message@1182-1195@sale_order.py
       5      1     22      1      12 _prepare_confirmation_values@1197-1208@sale_order.py
       2      1      7      1       6 _action_confirm@1210-1215@sale_order.py
       4      2     24      1       8 _send_order_confirmation_mail@1217-1224@sale_order.py
       6      2     31      1      10 _send_payment_succeeded_for_order_mail@1226-1235@sale_order.py
      11      3     55      2      22 _send_order_notification_mail@1237-1258@sale_order.py
       2      1     10      1       2 action_lock@1260-1261@sale_order.py
       2      1     10      1       2 action_unlock@1263-1264@sale_order.py
      31      5    192      1      37 action_cancel@1266-1302@sale_order.py
       4      1     38      1       4 _action_cancel@1304-1307@sale_order.py
       4      3     33      1       9 _show_cancel_wizard@1309-1317@sale_order.py
       7      1     29      1       7 action_preview_sale_order@1319-1325@sale_order.py
       7      3     45      1       9 action_update_taxes@1327-1335@sale_order.py
       4      1     31      1       4 _recompute_taxes@1337-1340@sale_order.py
       9      2     50      1      11 action_update_prices@1342-1352@sale_order.py
       7      1     49      1      10 _recompute_prices@1354-1363@sale_order.py
       4      1     39      2       4 _default_order_line_values@1365-1368@sale_order.py
       6      1     43      1       6 _get_action_add_from_catalog_extra_context@1370-1375@sale_order.py
       2      1     30      1       2 _get_product_catalog_domain@1377-1378@sale_order.py
       9      1     44      1       9 action_open_business_doc@1380-1388@sale_order.py
      32      7    235      1      39 _prepare_invoice@1392-1430@sale_order.py
      27     10    229      2      28 action_view_invoice@1432-1459@sale_order.py
       2      1     13      1       2 _get_invoice_grouping_keys@1461-1462@sale_order.py
      10      1     16      1      10 _nothing_to_invoice_error_message@1464-1473@sale_order.py
       2      1     21      1       3 _get_update_prices_lines@1475-1477@sale_order.py
      20     11    144      2      26 _get_invoiceable_lines@1479-1504@sale_order.py
       2      1     33      3       5 _create_account_invoices@1506-1510@sale_order.py
     127     45    913      4     186 _create_invoices@1512-1697@sale_order.py
       6      3     31      1       6 _discard_tracking@1701-1706@sale_order.py
       7      4     74      1      10 _track_finalize@1708-1717@sale_order.py
       7      5    129      2       7 message_post@1720-1726@sale_order.py
      38     19    323      4      47 _notify_get_recipients_groups@1728-1774@sale_order.py
      15      3    112      6      17 _notify_by_email_prepare_rendering_context@1776-1792@sale_order.py
       2      1      9      1       4 _phone_get_number_fields@1794-1797@sale_order.py
       7      5     61      2       7 _track_subtype@1799-1805@sale_order.py
       7      2     40      1       7 _message_get_suggested_recipients@1807-1813@sale_order.py
       4      3     31      1      11 _force_lines_to_invoice_policy_order@1817-1827@sale_order.py
       4      1     29      1       7 payment_action_capture@1829-1835@sale_order.py
       3      1     23      1       6 payment_action_void@1837-1842@sale_order.py
       3      1     22      1       3 get_portal_last_transaction@1844-1846@sale_order.py
       9      5     33      1       9 _get_order_lines_to_report.show_line@1855-1863@sale_order.py
       8      3     43      1      18 _get_order_lines_to_report@1848-1865@sale_order.py
      19      4    103      1      25 _get_default_payment_link_values@1867-1891@sale_order.py
       3      1     28      2       9 create_document_from_attachment@1895-1903@sale_order.py
      14      3    105      2      22 _create_order_from_attachment@1906-1927@sale_order.py
      21      5    115      2      28 _extend_with_attachments@1929-1956@sale_order.py
       4      2     27      2      12 _get_order_edi_decoder@1958-1969@sale_order.py
       8      4     37      1      19 _has_to_be_signed@1973-1991@sale_order.py
       9      5     45      1      22 _has_to_be_paid@1993-2014@sale_order.py
       3      1     20      1       4 _get_portal_return_action@2016-2019@sale_order.py
       3      1     13      1       4 _get_name_portal_content_view@2021-2024@sale_order.py
       2      1      8      1       3 _get_name_tax_totals_view@2026-2028@sale_order.py
       3      1     13      1       3 _get_report_base_filename@2030-2032@sale_order.py
       5      1     30      2       5 get_empty_list_help@2037-2041@sale_order.py
      10      6     95      2      12 _compute_field_value@2043-2054@sale_order.py
      11      4     76      1      12 _create_upsell_activity@2058-2069@sale_order.py
      13      2     81      2      18 _prepare_analytic_account_data@2071-2088@sale_order.py
      16      1     70      2      22 _prepare_down_payment_section_line@2090-2111@sale_order.py
       6      3     46      1      13 _get_prepayment_required_amount@2113-2125@sale_order.py
       6      1     34      1      13 _is_confirmation_amount_reached@2127-2139@sale_order.py
      10      2     57      1      17 _generate_downpayment_invoices@2141-2157@sale_order.py
      16      5    124      3      16 _get_product_catalog_order_data@2159-2174@sale_order.py
       7      4     55      3       7 _get_product_catalog_record_lines@2176-2182@sale_order.py
       7      1     40      1       8 _get_product_documents@2184-2191@sale_order.py
       6      3     35      2       6 _filter_product_documents@2193-2198@sale_order.py
